CourseCode,Semester,CourseName,StudyLevel
RZ107,1,Modeliranje i simulacija (razlika),Razlikovne obveze
RZ108,1,Arhitektura ra?unala (razlika),Razlikovne obveze
RZ110,1,Osnove elektrotehnike (razlika),Razlikovne obveze
RZ206,2,Osnove automatskog upravljanja (razlika),Razlikovne obveze
RZ216,2,Algoritmi i strukture podataka (razlika),Razlikovne obveze
RZ109,1,Osnove mjerenja (razlika),Razlikovne obveze
RZ212,2,Komunikacijski sustavi (razlika),Razlikovne obveze
RZ204,2,Programiranje (razlika),Razlikovne obveze
RZ207,2,Komunikacijske mreže,Razlikovne obveze
RZ210,2,Elektroenergetske mreže,Razlikovne obveze
RZ209,2,Osnove elektri?nih strojeva i pogona (razlika),Razlikovne obveze
RZ213,2,Komunikacijski sustavi (razlika),Razlikovne obveze
RZ214,2,Teorija informacije,Razlikovne obveze
RZ111,1,Baze podataka,Razlikovne obveze
RZ215,2,Operacijski sustavi,Razlikovne obveze
DAR1-01,1,Dizajn ra?unalnih sustava,Sveu?ilišni diplomski studij Ra?unarstva
DR1-02,1,Automati i formalni jezici,Sveu?ilišni diplomski studij Ra?unarstva
DR1A1-05,1,Algoritmi i arhitektura,Sveu?ilišni diplomski studij Ra?unarstva
DRAB1-02,1,Upravljanje procesima,Sveu?ilišni diplomski studij Ra?unarstva
DRABKB1-04,1,Digitalna obrada signala,Sveu?ilišni diplomski studij Ra?unarstva
DARAB2-04-17,2,Ugradbeni ra?unalni sustavi,Sveu?ilišni diplomski studij Ra?unarstva
DR2-01,2,Ra?unalni sustavi stvarnog vremena,Sveu?ilišni diplomski studij Ra?unarstva
DRA2K4I-05,2,Projektiranje ra?unalnih mreža,Sveu?ilišni diplomski studij Ra?unarstva
DRAB2-02,2,Inteligentni sustavi,Sveu?ilišni diplomski studij Ra?unarstva
DRAB2-03,2,Meko ra?unarstvo,Sveu?ilišni diplomski studij Ra?unarstva
DR3-01,3,Pouzdanost i dijagnostika ra?unalnih sustava,Sveu?ilišni diplomski studij Ra?unarstva
DRAC3-03,3,Osiguranje kakvo?e programske podrške,Sveu?ilišni diplomski studij Ra?unarstva
DRACD3-02,3,Raspodijeljeni ra?unalni sustavi,Sveu?ilišni diplomski studij Ra?unarstva
DRB1-05,1,Raspoznavanje uzoraka i strojno u?enje,Sveu?ilišni diplomski studij Ra?unarstva
DRB2-05,2,Osnove robotike,Sveu?ilišni diplomski studij Ra?unarstva
